Title,Company,Address,Posted In,Required Skills,Responsibilities,Requirements,Links
PHP Developer,E3mel Business for Financial & Managerial Consultancy,"Maadi, Cairo, Egypt ",13 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · males_only · CRM · OOP · MYSQL · HTML5 · CSS3 · iOS · Android · AJAX · javaScript · jQuery,"Write “clean” and well designed code | Produce detailed specifications | Troubleshoot, test and maintain the core product software and databases to ensure | strong optimization and functionality | Contribute in all phases of the development life cycle | Follow industry best practices | Develop and deploy new features to facilitate related procedures and tools if necessary | Any other tasks assigned by the manager | ","Excellent knowledge of OOP | Excellent knowledge of PHP & MYSQL | Excellent knowledge of HTML5, CSS 3, Ajax, jQuery, and JavaScript | Excellent knowledge Of Android and IOS | Good knowledge of CRM and WordPress (preferred) | ",https://wuzzuf.net/jobs/p/Q6FUeRJosgl0-PHP-Developer-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?o=11&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,intrazero,"Nasr City, Cairo, Egypt ",13 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Information Technology (IT) · Computer Science · Laravel · PHP · Javascript · Jquery · OOP · Agile · HTML · CSS,"We are looking for a Senior Php Developer who has advanced experience with one of the following frameworks (Symfony, Laravel) | Our ideal candidate should be ready to get challenged by working on some of the most complex problems. | ","Understanding of OOP principles | Strong knowledge of PHP, Laravel and CodeIgniter | Strong knowledge of restful api’s | Strong knowledge of version control systems (Git, or similar) | Ability and desire to learn new technologies | Knowledge jQuery, JavaScript and HTML/CSS Skills | Knowledge AJAX skills | Familiarity with Agile development environment and methodologies is a plus. | ",https://wuzzuf.net/jobs/p/lQ2FF6bSqvzN-Senior-PHP-Developer-intrazero-Cairo-Egypt?o=12&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,Confidential -,"Heliopolis, Cairo, Egypt ",13 days ago,Full timeExperienced · 4+ Yrs of Exp · females_only · PHP · javaScript · HTML · CSS · jQuery · Software Development · Information Technology (IT) · Open Source CMS · Jquery · OOP,"The PHP Developer is responsible for the creation and implementation of a wide variety of Web-based products using PHP, JavaScript, MySQL and AJAX | Participating in a team-oriented environment to develop complex web-based applications | Maintaining existing codebase, to include troubleshooting bugs and adding new features | Reporting technically to the project's team leader and managerially to the Project's manager. | ","Excellent knowledge of Design Patterns and OOP basics. | Excellent software development knowledge of PHP, Laravel, HTML, CSS, JavaScript, JSON, XML, APIs | V.Good knowledge of relational databases, non relational databases, version control tools and of developing web services. | Familiarity with Open Source CMS is a plus. | Familiarity with CMS / CRM creation project knowledge. | Zend & Yii Frameworks knowledge is a plus. | Magento & WordPress CMSs knowledge is a plus. | Analytical skills is a important. | Experience in common third-party APIs (google, facebook, AWS, etc) is a plus. | V.Good command with English (spoken and written). | Females only. | ",https://wuzzuf.net/jobs/p/ZRh5iNYhejlh-Senior-PHP-Developer-Cairo-Egypt?o=13&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer ( Back-End ),Confidential -,"Heliopolis, Cairo, Egypt ",13 days ago,Full timeExperienced · 4+ Yrs of Exp · males_only · PHP · javaScript · HTML · CSS · jQuery · Software Development · Information Technology (IT) · Open Source CMS · Jquery · OOP,"The PHP Developer is responsible for the creation and implementation of a wide variety of Web-based products using PHP, JavaScript, MySQL and AJAX | Participating in a team-oriented environment to develop complex web-based applications | Maintaining existing codebase, to include troubleshooting bugs and adding new features | Reporting technically to the project's team leader and managerially to the Project's manager. | ","Excellent knowledge of Design Patterns and OOP basics. | Excellent software development knowledge of PHP, Laravel, HTML, CSS, JavaScript, JSON, XML, APIs | V.Good knowledge of relational databases, non relational databases, version control tools and of developing web services. | Familiarity with Open Source CMS is a plus. | Familiarity with CMS / CRM creation project knowledge. | Zend & Yii Frameworks knowledge is a plus. | Magento & WordPress CMSs knowledge is a plus. | Analytical skills is a important. | Experience in common third-party APIs (google, facebook, AWS, etc) is a plus. | V.Good command with English (spoken and written). | Males only. | ",https://wuzzuf.net/jobs/p/UWBuYZAS0SWj-Senior-PHP-Developer-Back-End-Cairo-Egypt?o=14&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,DBS,"New Cairo, Cairo, Egypt ",5 days ago,Full timeExperienced · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · PHP · AJAX · Drupal · Software Engineering · Joomla · HTML · CSS,"Write “clean”, well-designed code | Produce detailed specifications | Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality | Contribute in all phases of the development lifecycle | Follow industry best practices | Develop and deploy new features to facilitate related procedures and tools if necessary | ","BS/MS degree in Computer Science, Engineering or a related subject | 5+ software development experience in PHP | Understanding of open source projects like Joomla, Drupal, Wikis, osCommerce, etc | Demonstrable knowledge of web technologies including HTML, CSS, Javascript, AJAX, etc | Good knowledge of relational databases, version control tools and of developing web services | ",https://wuzzuf.net/jobs/p/GcQZ2fVIcFxO-Senior-PHP-Developer-DBS-Cairo-Egypt?o=15&l=sp&t=sj&a=php|search-v3|hpb
PHP/ Drupal Developer,Innosoft,"Nasr City, Cairo, Egypt ",15 days ago,Full timeExperienced · 2 - 5 Yrs of Exp · Drupal · PHP · HTML5 · Programming · javaScript · PHP Programming · SQL · Information Technology (IT) · Computer Science · CSS3,Conducting analysis of website and application requirements. | Writing back-end code and building efficient PHP modules. | Developing back-end portals with an optimized database. | Troubleshooting application and code issues. | Integrating data storage solutions. | Responding to integration requests from front-end developers. | Finalizing back-end features and testing web applications. | Updating and altering application features to enhance performance. | ,"Bachelor’s degree in Computer Science or a similar field. | Knowledge of PHP web frameworks including Yii, Laravel, and Drupal will be Plus . | Knowledge of front-end technologies including CSS3, JavaScript, and HTML5. | Understanding of object-oriented PHP programming and Drupal  | Previous experience creating scalable applications. | Proficient with code versioning tools including Git, Mercurial, CVS, and SVN. | Familiarity with SQL/NoSQL databases. | Ability to project manage. | Good problem-solving skills. | ",https://wuzzuf.net/jobs/p/bTHVC7UhBrh0-PHP-Drupal-Developer-Innosoft-Cairo-Egypt?o=16&l=sp&t=sj&a=php|search-v3|hpb
Software Developer “PHP (Codeigniter + Laravel)”,CrossWorkers,"New Cairo, Cairo, Egypt ",12 days ago,Full timeEntry Level · 1+ Yrs of Exp · PHP · Information Technology (IT) · Software Development · Computer Science · Software · HTML · CSS · Programming · DevOps · Unit Testing,"Deliver the assigned tasks within due time frame and minimum percentage of defects/bugs, ensuring the needed quality of delivery is attained. | Ensure being up to date with the latest needed technologies aiding the Client’s projects needs and delivery. | Document all tasks being implemented for easy reference to the development team and Clients. | Effectively Communicates with the Team/Client, for an easy flow of information and connection with the team. | Manage time in order to utilize a 25% - 30% for research and learning and 70% - 75% for technical development. | Provides information by collecting, analyzing, and summarizing development and service issues. | Follow the NDA & Security Data Protection Guidelines ensuring data is confidential and not disclosed to any third parties. | ",Bachelors in Software Engineer or Computer Science. | A minimum of 1 Years of experience in related field/needed technology. | Culturally fitting with the company’s standards and profile. | Adapting to dynamic work environment. | Possess general programming skills & software development fundamentals. | ,https://wuzzuf.net/jobs/p/37qcbQmGe9Gp-Software-Developer-“PHP-Codeigniter-Laravel”-CrossWorkers-Cairo-Egypt?o=17&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Software Engineer,Coral Technology,"Nasr City, Cairo, Egypt ",11 days ago,Full timeExperienced · 3+ Yrs of Exp · Software Development · Scrum · Agile · Software · Computer Science · Information Technology (IT) · APIs · AWS · Software Engineering · English,"Participate in the day-to-day development activities of a fast-paced development team using Agile Scrum. | Support project, release, and sprint planning activities. | Contributes in the design, specification, and estimation of technical solutions by building consensus on the right approach. | Follow and enforce  engineering standards. | Ensure all code that goes to production is unit tested and is of top quality. | Conducts code reviews and POCs. | Work closely with the Product Architect, Business Analyst, and Quality teams. | Work closely with the Infrastructure/DevOps team to support environment maintenance, security, performance, and deployment activities. | Develop both a broad and deep understanding of existing application code and architecture. | Support product deployments, including but not limited to coordination, training, documentation, and troubleshooting. | Research, analyze, and troubleshoot areas of application improvement, keeping our customers’ needs top of mind. | ","B.Sc. in Computer Science or equivalent. | A minimum of 3 years of experience in software development. | Significant expertise with the Laravel PHP web framework. | Significant expertise in developing with RESTful APIs and its standards. | Significant expertise with relational databases such as MySQL and query performance characteristics. | Familiarity with NoSQL databases. | Experience in unit testing and test-driven development. | Experience with configuration management using continuous integration and continuous deployment processes (e.g. Git, Gitlab, Jenkins). | Familiarity with Agile Scrum. | Experience with other back-end frameworks like NodeJS, Sprint Boot, Django is a plus. | Demonstrated success in leading technical teams by establishing architecture and coding practices. | Excellent communication skills. | High English language proficiency. | Expertise in designing and developing Cloud computing apps/services/data stores on AWS and have a good understanding of cloud design architecture, cloud migration, and principles | ",https://wuzzuf.net/jobs/p/tNw90CFN4S5D-Senior-PHP-Software-Engineer-Coral-Technology-Cairo-Egypt?o=18&l=sp&t=sj&a=php|search-v3|hpb
PHP Backend Developer,Restart Technology,"Heliopolis, Cairo, Egypt ",13 days ago,Full timeExperienced · 2+ Yrs of Exp · php · Computer Science · Software Development · Laravel · Git · REST · Backend · REST APIs · PHP laravel · Mysql,Building REST and GraphQL APIs. | Working with modern web frameworks like Laravel and codeigniter. | Building backend APIs for web and mobile apps | Integrate with third-parties and payment gateways | Write well-structured reusable clean code | ,"You write clean, structured, and well-documented code. | Experience with HTML, Bootstrap, JavaScript, JQuery, and AJAX is a MUST. | ability to use Docker. | 2+ years of industry experience in backend development | Profound PHP knowledge, SOLID design principles | Experience with different databases/storage backends (MySQL, NoSQL) | Experience with cloud services providers (like AWS or digitalocean Cloud Platform), container technologies (Docker, Kubernetes). | Familiarity with code versioning tools. ( GitHub, Gitlab). | Have solid skills in object-oriented programming. | Good knowledge of writing queries with good performance. | Experience in common third-party APIs (Google, Facebook, etc.) | Experience using Agile (Scrum) Process and Agile tools. | Expertise in PHP tools and libraries such as Composer and PHPUnit. | Skilled in designing and optimizing database queries. | Strong background in NginX, apache, ubuntu servers. | ",https://wuzzuf.net/jobs/p/349ziLKF3qJd-PHP-Backend-Developer-Restart-Technology-Cairo-Egypt?o=19&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Backend Developer,dlivr.io,"Nasr City, Cairo, Egypt ",19 days ago,Full timeExperienced · 4+ Yrs of Exp · Information Technology (IT) · PHP · Computer Science · Software Development · Laravel · Git · Software · Docker · Symfony · English,"We are seeking an expert backend developer with strong PHP knowledge. | You'll be working on client projects and help them in whichever way they need.This also means that you'll be talking to clients directly, so great communication skills are a must. | ","First and foremost, you should be able to develop very well with PHP, have a high willingness to learn and also think outside the box | You should have very good knowledge of at least one popular PHP framework (Laravel, Symfony, CakePHP, Laminas etc.) | You are our figurehead with our customers. Therefore, you should work independently and customer-oriented, be accurate and be able to communicate well in speech and writing | Computer Sciences degree or proven self-taught developer (show us your work!) | Minimum 4 years of professional experience with PHP | Extensive experience in (PHP relevant) design patterns and SOLID principles | You write clean, structured and well-documented code | You know your way around writing automated tests - unit, functional and end2end tests | Proficient in version control software platforms (e.g git) | Comfortable with using Docker or Vagrant | Good understanding of REST APIs | Already worked on production web applications | Business-fluent English skills | German language is a plus | ",https://wuzzuf.net/jobs/p/CH29d1W97FT4-Senior-PHP-Backend-Developer-dlivr-io-Cairo-Egypt?o=20&l=sp&t=sj&a=php|search-v3|hpb
Senior Software Engineer- PHP,Togar,"New Nozha, Cairo, Egypt ",18 days ago,Full timeExperienced · 3 - 7 Yrs of Exp · PHP · Information Technology (IT) · Software Development · CSS · Computer Science · javaScript · MySQL · HTML · Engineering · OOP,,,https://wuzzuf.net/jobs/p/tSVQBMnxaOTN-Senior-Software-Engineer--PHP-Togar-Cairo-Egypt?o=21&l=sp&t=sj&a=php|search-v3|hpb
PHP Developer - Tanta (WFH Till COVID-19 Ends),Creative Minds,"Tanta, Gharbia, Egypt ",20 days ago,Full timeWork from homeExperienced · 3 - 7 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Computer Engineering · PHP · Linux · HTML5 · AJAX · CSS · Laravel,,,https://wuzzuf.net/jobs/p/6cEcmxPQgFfe-PHP-Developer---Tanta-WFH-Till-COVID-19-Ends-Creative-Minds-Gharbia-Egypt?o=22&l=sp&t=sj&a=php|search-v3|hpb
Back End Developer (PHP/Laravel) – Alexandria,Deli Techno,"Alexandria, Egypt ",18 days ago,Full timeExperienced · 2 - 3 Yrs of Exp · IT · Information Technology · Computer Science · Computer Engineering · Software Development · Software Engineering · MySQL · APIs · Web Development · Back End,,,https://wuzzuf.net/jobs/p/hQ7e0JQ70RHC-Back-End-Developer-PHPLaravel-–-Alexandria-Deli-Techno-Alexandria-Egypt?o=23&l=sp&t=sj&a=php|search-v3|hpb
PHP Laravel Developer,Confidential -,"Downtown, Cairo, Egypt ",21 days ago,Full timeExperienced · 3 - 12 Yrs of Exp · MongoDB · PHP · Laravel · MySQL · Information Technology (IT) · Computer Science · Engineering · SQL · Software · Installation/Maintenance/Repair,,,https://wuzzuf.net/jobs/p/SxQeE9ZBF3xr-PHP-Laravel-Developer-Cairo-Egypt?o=24&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP (Laravel) Developer,UnitLabs,"Mohandessin, Giza, Egypt ",19 days ago,Full timeWork from homeExperienced · 3 - 8 Yrs of Exp · PHP · Software Development · Software Engineering · Web Development · Computer Science · PHP Development · MySQL · MySQL Database · HTML · CSS,,,https://wuzzuf.net/jobs/p/VP4f6WYfooew-Senior-PHP-Laravel-Developer-UnitLabs-Giza-Egypt?o=25&l=sp&t=sj&a=php|search-v3|hpb
Full Stack Developer - PHP Laravel,E3mel Business for Financial & Managerial Consultancy,"Maadi, Cairo, Egypt ",20 days ago,Full timeExperienced · 3 - 6 Yrs of Exp · males_only · Software Development · Information Technology (IT) · Computer Science · Full Stack · CSS · JavaScript · Computer · Project Management · PHP · Laravel,Developing front end website architecture. | Designing user interactions on web pages. | Developing back end website applications. | Creating servers and databases for functionality. | Ensuring responsiveness of applications. | Working alongside graphic designers for web design features. | Seeing through a project from conception to finished product. | Meeting both technical and consumer needs. | Staying up to date of developments in web applications and programming languages. | Understanding of overall PHP processing. | ,3-6 years of experience in the same role. | Bachelor's degree in computer science or a relevant field. | Strong organization and project management skills. | Males only. | ,https://wuzzuf.net/jobs/p/lTdRJ1Hg6qHF-Full-Stack-Developer---PHP-Laravel-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?o=26&l=sp&t=sj&a=php|search-v3|hpb
Senior Full Stack Developer (PHP Laravel & Vue.js),CrossWorkers,"New Cairo, Cairo, Egypt ",22 days ago,Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Laravel · VueJs · AJAX · MySQL · javaScript · PHP Laravel · PHP · Computer Science,"Deliver the assigned tasks within due time frame and minimum percentage of defects/bugs, ensuring the needed quality of delivery is attained. | Ensure being up to date with the latest needed technologies aiding the Client’s projects needs and delivery. | Document all tasks being implemented for easy reference to the development team and Clients. | Effectively Communicates with the Team/Client, for an easy flow of information and connection with the team. | Manage time in order to utilize a 25% - 30% for research and learning and 70% - 75% for technical development. | Provides information by collecting, analyzing, and summarizing development and service issues. | Follow the NDA & Security Data Protection Guidelines ensuring data is confidential and not disclosed to any third parties. | ",Bachelors in Software Engineer or Computer Science. | Overall experience 3+ years. | A minimum of 6 months – 2 Years of experience in related field/needed technology. | Culturally fitting with the company’s standards and profile. | Adapting to dynamic work environment. | Possess general programming skills & software development fundamentals. | ,https://wuzzuf.net/jobs/p/f1hStDLdO0bf-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-CrossWorkers-Cairo-Egypt?o=27&l=sp&t=sj&a=php|search-v3|hpb
PHP Developer,Confidential -,"Los Angeles, United States ",25 days ago,Full timeFreelance / ProjectWork from homeExperienced · 2+ Yrs of Exp · Information Technology (IT) · PHP · Software Development · Computer Science · Programming · javaScript · Laravel · HTML5 · CSS3 · SQL,Conducting analysis of website and application requirements. | Writing back-end code and building efficient PHP modules. | Developing back-end portals with an optimized database. | Troubleshooting application and code issues. | Integrating data storage solutions. | Responding to integration requests from front-end developers. | Finalizing back-end features and testing web applications. | Updating and altering application features to enhance  | ,"Knowledge of PHP web frameworks including Yii, Laravel, and CodeIgniter. | Knowledge of front-end technologies including CSS3, JavaScript, and HTML5. | Understanding of object-oriented PHP programming. | Previous experience creating scalable applications. | Proficient with code versioning tools including Git, Mercurial, CVS, and SVN. | Familiarity with SQL/NoSQL databases. | Ability to project manage. | Good problem-solving skills. | Good English Speaking Skills | ",https://wuzzuf.net/jobs/p/Fa9oVEV9wvmQ-PHP-Developer-Los-Angeles-United-States?o=28&l=sp&t=sj&a=php|search-v3|hpb
Sr. PHP Developer,Expand Cart,"6th of October, Giza, Egypt ",25 days ago,Full timeExperienced · 3+ Yrs of Exp · PHP · Web Development · HTML · CSS · Bootstrap · jQuery · Angular JS · Information Technology (IT) · Full Stack · Front End,"Provide software solution proposals to the project manager to decide the best way to implement software | Develop and implement new features and functionality based on requirements | Write clean, well-designed code, work with concepts OOP-MVC-API-HTTP | Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality | Develop and deploy new features to facilitate related procedures and tools if necessary | ","A degree, preferably Computer Science, Computer Engineering | 3+ years of experience in Back End – Front End – Full Stack | Programming skills: namely PHP, HTML, CSS, JavaScript, jQuery | Work with APIs and formats (JSON, XML) | Work with Concepts: OOP-MVC-HTTP | Use source control system such as Subversion or Git | Work with debugging tools | ",https://wuzzuf.net/jobs/p/9vXwNRHYXH7Q-Sr-PHP-Developer-Expand-Cart-Giza-Egypt?o=29&l=sp&t=sj&a=php|search-v3|hpb
