Title,Company,Address,Posted In,Required Skills,Responsibilities,Requirements,Links
Mechanical Engineer (Power Plant),ECS - Energy & Contracting Solutions,"6th of October, Giza, Egypt ",1 month ago,Full timeExperienced · 5+ Yrs of Exp · Mechanical Power · Mechanical Engineering · Energy · Engineering · Electrical Engineering · Plant · Power Plant · Electrical · Mechanical · Power,"Review logs, datasheets, or reports to ensure adequate production levels and safe production. | Review operations performance specifications to ensure compliance with the requirements. | Contribute to the preparation of the annual budget. | Supervise the plant & substation operations, maintenance, repair, or testing activities. | Supervise O&M employees in the production of power plant. | Monitor the operating status of the plants by observing control parameters, switchboard gauges, dials, or other indicators. | Maintain the internal training for the plant staff. | Inspect equipment and facilities for ways to maximize capacity and minimize the costs. | Coordination in monitoring the profitability progress of the plant | Plan and schedule plant activities, such as regular maintenance. | Evaluate power production or demand trends to identify opportunities for improved operations. | Analyzing information and evaluating results to choose the best solution and solve problems. | Monitor the inventories of spare parts, maintenance consumables, and reordering it. | Maintain safety, health, and environmental policies and procedures. | ",Mechanical / Electrical Engineering Bachelor’s degree | 5+ years of experience in the Energy (Power Plant) field | ,https://wuzzuf.net/jobs/p/ai5xmTddA0Ek-Mechanical-Engineer-Power-Plant-ECS---Energy-Contracting-Solutions-Giza-Egypt?o=11&l=sp&t=sj&a=energy|search-v3|hpb
Sales Account Manager,International Business Systems I.B.S.,"Mokattam, Cairo, Egypt ",1 month ago,Full timeExperienced · 3 - 7 Yrs of Exp · Sales Target · Account Management · Sales Forecast · Customer Service · Customer Care · Customer Support · Solar Energy · Sales Skills · Communication Skills · Real Estate,"Service existing customers | Ensure improvement in company’s margins | Document clearly complaints, issues, and problems with sales process for future review | Identify opportunities for sales improvement | Secure sales orders | Engage in sales forecast | Assist customers and educate them on the benefit of company’s products | Provide technical support | Review the performance and reports of sales staff and their activities | Lead project management process | Ensure achievement of sales targets | Deliver presentations on sales to superior executives | Attend client meetings | Maintain relationships with existing clients | Expand relationships with potential clients | Complete administrative work as required | Manage a portfolio of accounts | Handle certain aspects of company’s campaign | Generate new business with the use of existing company’s network contacts | Ensure that solutions are successfully and timely delivered to customers and according to their specifications | Regularly communicate to internal and external stakeholders on the progress of initiatives employed on sales activities | Track key account metrics | Identify and develop opportunities within a territory | Collaborate with sales team in order to ensure attainment of growth | ",Proven experience in account management | Preferably experience in solar energy or real estate development . | Ability to effectively communicate and credibly influence people at all levels | Proven experience in the delivery of solutions that are client-focused and based on the needs of customers | Demonstrated ability to effectively handle multiple projects | Ability to pay strict attention to details | Excellent negotiation skills | Excellent presentation skills | Excellent listening ability | Excellent communication skills – both verbal and written | Must have a car  | ,https://wuzzuf.net/jobs/p/zdx5jUVVV4OG-Sales-Account-Manager-International-Business-Systems-I-B-S-Cairo-Egypt?o=12&l=sp&t=sj&a=energy|search-v3|hpb
Government Affairs Officer,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Law · Legal · Government affairs · Microsoft Office · Administration · Administration · Legal,"Pay close attention to, sort out and collect Internet-related policies, special actions, government trends, etc., to establish and maintain long-term and stable good cooperative relations. |  Assist in obtaining government projects, awards and honors, company qualifications and opportunities for positive publicity, and integrate government resources for the company's business development. |  Assist in the connection and execution of government-side positive energy activities to improve the social reputation and image of the company or brand. |  Handle government affairs related work, writing of official letters, etc. |  Complete the temporary work assigned by the superior. | ","Bachelor degree or above; |  Have a background in government, public relations and business; |  Good writing skills, good at official document writing; |  Possess excellent interpersonal skills and coordination skills, strong social activities, good teamwork spirit and good stress resistance; |  Work meticulously, have good logical ability, work steadily, and have a strong sense of responsibility. |  Have strong political sensitivity, and be familiar with the structure and process of government organizations. | Familiar with the work process and methods of government departments at all levels; | ",https://wuzzuf.net/jobs/p/MzbAnBXq3k7N-Government-Affairs-Officer-Concept-Energy-Cairo-Egypt?o=13&l=sp&t=sj&a=energy|search-v3|hpb
Business Development Manager,ECS - Energy & Contracting Solutions,"Cairo, Egypt ",2 days ago,Full timeManager · 10+ Yrs of Exp · Mechanical Engineering · Ventilation · Sales Skills · Engineering · Pumps · Sales · Sales Target · Customer Service · Mechanical · English,"Manage Sales team for selling products. | Manage and assist the team to follow up projects by consolidate and maintain professional relationship with directors, project owners, consultants, engineers, and contractors to achieve the department’s targets, objectives and goals. | Search for new clients who could benefit from our products and services in a designated sector. | Assists the business development team in opening new markets and deals’ closure. | Leads positive change in the company. | Collaborate with business development team to understand client requirements and provide sales support. | Identify new opportunities for business. | Handling mega projects. | Review & deliver presentations explaining products or services to clients & consultants. | Follow up preparing compliance sheet, presentations and related tender and bidding requirements. | Negotiate and manage conflicts using different approaches. | Create long-term relationships with clients (developers, consultants & contractors) and ensure that this relationship is based on win/win situation. | Prepare market analysis report and needed actions, monthly reports and sales forecast report to the direct manager. | Meeting sales target for the sales team. | Review and modify weekly plan of sales team | Support marketing by attend trade shows, conferences and other marketing events. | Strong marketing orientation with the ability to develop strategies to edge out the competition. | Ensure controlling all projects and clients registered in its database and to get the most appropriate time management. | ",Mechanical Engineering Bachelor’s degree | 10+ years of experience  in Electro-mechanical industry (Contracting/construction) | Preferably if you have experience in Commercial & Industrial sectors | Must have a car | Strong Sales skills | Excellent in English | ,https://wuzzuf.net/jobs/p/CtfruXjh2wfj-Business-Development-Manager-ECS---Energy-Contracting-Solutions-Cairo-Egypt?o=14&l=sp&t=sj&a=energy|search-v3|hpb
Petroleum Engineering Manager - Cairo,MSR Treating Chemicals and Oil Field Services,"Maadi, Cairo, Egypt ",25 days ago,Full timeManager · 20+ Yrs of Exp · Oil · Gas · Petroleum · Engineering · Halliburton · schlumberger · Engineering - Oil & Gas/Energy,"Inspecting the shipment of crude or refined petroleum | Performing safety and standard measurements | Calculating quantities, delivering samples to labs for analysis | ",Preferably ex Halliburton or schlumberger. | Experienced in downhole operations for service company operation. | ,https://wuzzuf.net/jobs/p/5VTHP6jabNE5-Petroleum-Engineering-Manager---Cairo-MSR-Treating-Chemicals-and-Oil-Field-Services-Cairo-Egypt?o=15&l=sp&t=sj&a=energy|search-v3|hpb
Oil Spill Engineer,Petrosafe,"Cairo, Egypt ",19 days ago,Full timeEntry Level · 0 - 1 Yrs of Exp · males_only · Spill Engineer · Engineering · Chemical Science · Petroleum · Petrol · Petroleum Engineer · Petroleum Engineering · Oil Spill · HSE · R&D/Science,"Maintain awareness of developments in oil spill response techniques and the fate and effects of oil and chemicals as well as of other issues of consequence, (such as legislation, commercial issues, new technologies). | ",Holding a B.Sc. degree in Engineering or Chemical Science | Fresh graduate | Male | Military service is completed or exempted | Fluent English | Well utilizing of computer basics & office application | Serious & Self-commitment personality | Preferable if having a previous HSE background or summer training | ,https://wuzzuf.net/jobs/p/66CITF0bhh38-Oil-Spill-Engineer-Petrosafe-Cairo-Egypt?o=16&l=sp&t=sj&a=energy|search-v3|hpb
Accountant,Concept Energy,"Maadi, Cairo, Egypt ",13 days ago,Full timeExperienced · 3+ Yrs of Exp · Accounting · Financial Management · Finance · Financial Analysis · Excel · Financial · Business · Office · Taxation · Management,"Responsible for the review and payment of daily expenses and reimbursement; | Responsible for monthly sales expense review and statistics, and edit monthly sales income, payment collection and expense cost analysis table; | Responsible for calculating monthly salary and commission bonus of each sales department; | Responsible for the statistics and summary of the monthly payment schedule of the business department and the management of customer payment; |  Familiar with accounting processing and related tax declaration procedures, and be responsible for handling various tax declarations; | Responsible for the audit and tracking of the company's import and export tax refund invoices and tax refund declaration; |  Accept the inspection and supervision of taxation, auditing and other departments, provide all required information in a timely and accurate manner, and maintain good communication and coordination with all parties; | Responsible for the company's industrial and commercial changes related matters; | Complete other tasks assigned by superiors. | ","Bachelor degree or above, major in financial management, accounting, etc.; |  At least 3 years of financial management work experience, familiar with the use of financial software such as UFIDA; | Familiar with office, good at excel data analysis and processing; | Ability to complete accounting management independently, familiar with financial system, accounting system and relevant laws and regulations of finance and taxation, financial countermeasures and risk avoidance, etc.; |  Able to accept business trips or temporary assignments to other places to handle financial matters. | ",https://wuzzuf.net/jobs/p/KnvxSIn3KqAg-Accountant-Concept-Energy-Cairo-Egypt?o=17&l=sp&t=sj&a=energy|search-v3|hpb
Human Resources Specialist,Concept Energy,"Maadi, Cairo, Egypt ",13 days ago,Full timeExperienced · 2 - 5 Yrs of Exp · Human Resources (HR) · Skills · Human Resources · Human Resource · Personnel · Microsoft Office · Management · Communication · Recruitment · Labor,"According to human resource planning, assist in the completion of personnel recruitment, training, and employee relations; |  Improve various human resource management norms or systems under the guidance of leaders, and urge all departments to implement them; | Manage employee information files and improve the company's personnel data; | Complete the company's human resources procedures: entry, conversion, contract fulfillment, resignation and other procedures; |  Responsible for the daily attendance management of company employees and monthly attendance summary work; | Complete other tasks assigned by the leader. | ","Human resource management or related majors, bachelor degree or above; |  Excellent communication and coordination skills, more than 1 year of personnel work experience; |  Familiar with the recruitment process of human resources and various recruitment channels; |  Familiar with labor and personnel related laws, regulations and policies, and maintain professionalism and professional ethics; | Familiar with various office software. | ",https://wuzzuf.net/jobs/p/czCNQb25h3Fg-Human-Resources-Specialist-Concept-Energy-Cairo-Egypt?o=18&l=sp&t=sj&a=energy|search-v3|hpb
Marketer,Concept Energy,"Maadi, Cairo, Egypt ",13 days ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Marketing · Sales · Public Relations · Development · Market Analysis · Social Media · Media · Business Development · Communication · Business," Responsible for formulating and implementing regional sales plans and targets; market research, collecting relevant market dynamics and analyzing them to provide a basis for leadership decision-making; |  Assist leaders in formulating market promotion plans and promotion plans; |  Implement according to the designated marketing plan, and be responsible for evaluating the effect of marketing activities; | Track and contact customers, record customer feedback, and improve the promotion plan based on customer opinions; |  Master the market dynamics, actively explore the market, be responsible for market research, sales and customer development, and complete the company's sales goals. |  Complete various tasks assigned by department heads. | "," Bachelor degree or above in marketing major, more than 3 years of work experience; |  Love sales work, quick thinking, good eloquence and market development experience; |  Strong communication, coordination and teamwork skills, good personal image and temperament; |  Have good professional ethics, be pragmatic, able to bear hardships and stand hard work, and be able to adapt to short-term business trips. | ",https://wuzzuf.net/jobs/p/xTUEkent9na5-Marketer-Concept-Energy-Cairo-Egypt?o=19&l=sp&t=sj&a=energy|search-v3|hpb
Sales Engineer,EFE Egypt,"6th of October, Giza, Egypt ",17 days ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Sales Skills · Sales Engineer · Engineering · Client Relationships · Customer Relations · Lead Generation · Food Processing Equipment · Sales/Retail · Engineering - Other,"Identifies business opportunities by identifying prospects and evaluating their position in the industry; researching and analyzing sales options. | Sells products by establishing contact and developing relationships with prospects; recommending solutions. | Maintains relationships with clients by providing support, information, and guidance; researching and recommending new opportunities; recommending profit and service improvements. | Identifies product improvements or new products by remaining current on industry trends, market activities, and competitors. | Prepares reports by collecting, analyzing, and summarizing information. | Maintains quality service by establishing and enforcing organization standards. | Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies. | Contributes to team effort by accomplishing related results as needed. | ",Experience in selling food processing equipment and engineering machinery is a must | Bachelor in any field of engineering | Driving license is a must | Basic English level | Presentation Skills | Client Relationships | Emphasizing Excellence | Energy Level | Negotiation | ,https://wuzzuf.net/jobs/p/uhhm6tPiEI2t-Sales-Engineer-EFE-Egypt-Giza-Egypt?o=20&l=sp&t=sj&a=energy|search-v3|hpb
Sales Engineer - Heliopolis,Alumil,"Heliopolis, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1+ Yrs of Exp · Aluminium · Solar Energy · Engineering · Sales · Sales Skills · Client Relationships · Solar Sales · Account Management · Marketing · Customer Service,"Promoting company's profiles By the following: Searching for new clients who might benefit from company products and maximizing client potential in designated regions, Contact Decision Makers (Architects, Consultants, Owners, General construction companies, Prescribes…. Etc. | Developing long-term relationships with clients through managing and interpreting their requirements | Persuading clients that a product best satisfies their needs in terms of quality, price and delivery | Support on specific project to find the appropriate product. | Preparing samples, technical and official documents for getting approvals of materials for project. | Providing pre-sales technical assistance and product education, and after-sales support services | Submission of reports covering every visit to the management. | Develop and executes marketing programs. | Following collection plans to avoid any overdue | Meeting regular product specification targets and coordinating sales projects; | Supporting marketing activities by attending trade shows, conferences and other marketing events | ","BSC Engineering degree. | Technical Background on Aluminum Works. | Excellent Command of English and Arabic written and spoken. | Excellent Computer Skills (Excel, Word, PowerPoint). | Excellent written and oral communication skills. | Team-working skills. | Sales skills. | Commercial awareness. | Valid driver's license | ",https://wuzzuf.net/jobs/p/EfMZrUA6O4Uv-Sales-Engineer---Heliopolis-Alumil-Cairo-Egypt?o=21&l=sp&t=sj&a=energy|search-v3|hpb
Enterprise Management Manager,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeManager · 10+ Yrs of Exp · Management · Business management · Sales · Sales Skills · Computer Science · Administration · Operations/Management,"Responsible for formulating the company's strategic management measures, establishing and improving the company's strategic management system and system specifications; |  Responsible for drafting the company's strategic plan according to the requirements of the company's general manager; | Responsible for overall management and dynamic adjustments according to the company's business development stage, establish and improve the company's internal control system, and establish internal review and review, supervision and other mechanisms; | Responsible for setting up a scientific and reasonable performance reform plan and maintaining optimization according to the company's business development stage; |  Responsible for continuously improving and optimizing the company's institutional process system; | Responsible for formulating and implementing the company's reform and development plan; | Other tasks assigned by superiors | Responsible for the overall work of the Enterprise Management Department; |  Responsible for formulating and implementing various management systems; |  Responsible for supervising and implementing the general manager's instructions and general manager office meetings; |  Responsible for the company's performance management and assessment; |  Responsible for disciplinary inspection and supervision; |  Responsible for the design of the company's organization and the proposal of improvement plans; |  Responsible for salary management; | Responsible for the review of personnel recruitment; |  Formulation of human resource plans and daily review and approval of human resource management; Fully responsible for corporate culture construction; | Complete other tasks assigned by the general manager. | "," College degree or above, graduated from management related majors, | More than 10 years of work experience, including more than 5 years of management experience and more than 3 years of department supervisor experience; |  Familiar with corporate administration, human resource management, law and other knowledge; | Master the knowledge of corporate image planning and corporate culture construction, and be familiar with public relations and publicity work; | ",https://wuzzuf.net/jobs/p/iBwUyI6Hv6qQ-Enterprise-Management-Manager-Concept-Energy-Cairo-Egypt?o=22&l=sp&t=sj&a=energy|search-v3|hpb
Assistant to the chairman,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeExperienced · 2+ Yrs of Exp · Secretary · Office Management · English · Administration · Microsoft Office · Administration,"Chinese application | According to the requirements of the chairman of the board, do a good job in its schedule, meeting business arrangements, meeting minutes preparation, participation in necessary business activities, document preparation and delivery, supervision and reporting of the completion of tasks assigned by the chairman; | Draft the company's various external documents and various documents and materials of the department and be responsible for archive management | Have a good level of English and Chinese application, and have certain listening, speaking, reading and writing skills; | ","2 years of working experience in secretarial category; | Have a good level of English and Chinese application, and have certain listening, speaking, reading and writing skills; | ",https://wuzzuf.net/jobs/p/TPsS4xxrZfIP-Assistant-to-the-chairman-Concept-Energy-Cairo-Egypt?o=23&l=sp&t=sj&a=energy|search-v3|hpb
